#type,key,en,jp,zh,add
tr,dummy,_dm_,_仮_,_假_,
<menubar>,,,,,
tr,file,File,ファイル(f),文件(f),
tr,help,Help,ヘルプ(h),帮助(h),
<menuitem>,,,,,
tr,operate,Operate,実行(r),运行(r),
tr,load,Load…,読込み(o),读取(o),
tr,saveas,Save as…,書出し(s),保存(s),
tr,quit,Quit,終了(q),结束(q),
tr,info,Info…,情報(i),信息(i),
<tabtitle>,,,,,
tr,config,Config,設定,设置,
tr,log,Log,ログ,日志,
<listitem>,,,,,
tr,user,User,ユーザ,用户,
tr,spec,Specific,仕様,规格,
tr,power,Power,動力,动力,
<tablecolumn>,,,,,
tr,key,Key,項目,项目,
tr,value,Value,内容,内容,
tr,--tablecolumn-item,Item,項目,项目,
tr,--tablecolumn-power,Power[kW],動力[kW],动力[kW],
<record.key>,,,,,
tr,--user-name,Customer Name,向先名,客户名,
tr,--user-sanumber,Serial Number,製番,制作编号,
tr,--user-locale,Locale,設置場所,地址,
tr,--user-expire,Expire Data,納期,交货期,
tr,--spec-agcat,AG Cattagory,骨材種目,骨料种数,
tr,--spec-frcat,FR Cattagory,石粉種目,石粉种数,
tr,--spec-ascat,AS Cattagory,アス種目,沥青种数,
tr,--spec-vbmode,V-Burner Mode,Vバーナ燃料,主机燃烧器燃料,
tr,--spec-vbctrl,V-Burner Controller,Vバーナ制御,主机燃烧器控制,
tr,--power-fillerFeeder,Filler Feeder,石粉フィーダ,石粉计量螺旋,
tr,--power-fillerElevator,Filler Elevator,石粉エレベータ,石粉提升机,
tr,--power-fillerSiloscrew,Filler Silo Screw,石粉サイロスクリュ,石粉仓下螺旋,
<button>,,,,,
tr,mod,MOD,,,
</>,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
tr,,,,,
<eof>,,,,,
